G_NO_LESSON | 0 | art | Game="Формы предметов ⬜"
G_NO_LESSON | 0 | art | Game="Геометрические фигуры 🔷"
G_NO_LESSON | 0 | art | Game="Акварельные краски 🎨"
L_NO_GAME | 0 | art | Lesson="Урок 2: Красный, жёлтый, синий"
L_NO_GAME | 0 | art | Lesson="Урок 4: Тёплые и холодные цвета"
L_NO_GAME | 0 | art | Lesson="Урок 10: Рисование красками"
G_NO_LESSON | 0 | craft | Game="Формы для лепки 🧸"
G_NO_LESSON | 0 | craft | Game="Материалы для поделок ✂️"
G_NO_LESSON | 0 | craft | Game="Инструменты 🧰"
G_NO_LESSON | 0 | craft | Game="Природные материалы 🌿"
G_NO_LESSON | 0 | craft | Game="Работа с пластилином 🎨"
G_NO_LESSON | 0 | craft | Game="Аппликации из бумаги ✂️"
G_NO_LESSON | 0 | craft | Game="Поделки из камешков 🐞"
L_NO_GAME | 0 | craft | Lesson="Лепка и поделки"
L_NO_GAME | 0 | craft | Lesson="Урок 1: Знакомство с пластилином"
L_NO_GAME | 0 | craft | Lesson="Урок 2: Простые формы"
L_NO_GAME | 0 | craft | Lesson="Урок 5: Первая аппликация"
L_NO_GAME | 0 | craft | Lesson="Урок 7: Аппликация «Домик»"
L_NO_GAME | 0 | craft | Lesson="Урок 8: Аппликация «Дерево»"
L_NO_GAME | 0 | craft | Lesson="Урок 11: Аппликация из листьев"
L_NO_GAME | 0 | craft | Lesson="Урок 12: Камешки и ракушки"
G_NO_LESSON | 0 | math | Game="Учим цифры 6-10 🔢"
G_NO_LESSON | 0 | math | Game="Счёт предметов 🍎"
G_NO_LESSON | 0 | math | Game="Сравниваем числа ⚖️"
G_NO_LESSON | 0 | math | Game="Соседи чисел 🏠"
G_NO_LESSON | 0 | math | Game="Ноль и десять 0️⃣🔟"
L_NO_GAME | 0 | math | Lesson="Основы счёта"
L_NO_GAME | 0 | math | Lesson="Урок 1: Счёт до 5"
L_NO_GAME | 0 | math | Lesson="Урок 2: Счёт до 10"
L_NO_GAME | 0 | math | Lesson="Урок 4: Цифры 6-9 и 0"
L_NO_GAME | 0 | math | Lesson="Урок 5: Сравнение групп"
L_NO_GAME | 0 | math | Lesson="Урок 7: Счёт в пределах 10"
G_NO_LESSON | 0 | music | Game="Песни 🎶"
L_NO_GAME | 0 | music | Lesson="Урок 6: Песня «Антошка»"
L_NO_GAME | 0 | music | Lesson="Урок 8: Колыбельная"
L_NO_GAME | 0 | music | Lesson="Урок 11: Колокольчик"
G_NO_LESSON | 0 | pe | Game="Движения 🏃"
G_NO_LESSON | 0 | pe | Game="Игры 🎮"
G_NO_LESSON | 0 | pe | Game="Гимнастика 🤸"
G_NO_LESSON | 0 | pe | Game="Спортивные правила 📋"
L_NO_GAME | 0 | pe | Lesson="Физкультура"
L_NO_GAME | 0 | pe | Lesson="Урок 6: Догонялки"
L_NO_GAME | 0 | pe | Lesson="Урок 9: Разминка"
L_NO_GAME | 0 | pe | Lesson="Урок 10: Упражнения"
G_NO_LESSON | 0 | reading | Game="Звуки вокруг нас 🔊"
G_NO_LESSON | 0 | reading | Game="Слоги в словах 👏"
G_NO_LESSON | 0 | reading | Game="Учимся рифмовать 🎭"
L_NO_GAME | 0 | reading | Lesson="Урок 1: Звуки речи"
L_NO_GAME | 0 | reading | Lesson="Урок 2: Слова и слоги"
L_NO_GAME | 0 | reading | Lesson="Урок 4: Слушание сказок"
L_NO_GAME | 0 | reading | Lesson="Урок 8: Рифма"
G_NO_LESSON | 0 | russian | Game="Линии и фигуры ✏️"
G_NO_LESSON | 0 | russian | Game="Узоры по клеточкам 🎨"
G_NO_LESSON | 0 | russian | Game="Направления 🧭"
G_NO_LESSON | 0 | russian | Game="Правила письма ✍️"
G_NO_LESSON | 0 | russian | Game="Штриховка 🎨"
G_NO_LESSON | 0 | russian | Game="Подготовка к буквам 🔡"
L_NO_GAME | 0 | russian | Lesson="Подготовка к письму"
L_NO_GAME | 0 | russian | Lesson="Урок 1: Знакомство с прописью"
